trade_date,Binance_Coin LogReturn,Bitcoin LogReturn,Bitcoin_Cash LogReturn,Bitcoin_SV LogReturn,Cardano LogReturn,Chainlink LogReturn,Crypto_com_Coin LogReturn,EOS LogReturn,Ethereum LogReturn,Huobi_Token LogReturn,Litecoin LogReturn,Monero LogReturn,NEO LogReturn,Stellar LogReturn,Tether LogReturn,Tezos LogReturn,TRON LogReturn,UNUS_SED_LEO LogReturn,USD_Coin LogReturn,XRP LogReturn,Binance_Coin Volume,Bitcoin Volume,Bitcoin_Cash Volume,Bitcoin_SV Volume,Cardano Volume,Chainlink Volume,Crypto_com_Coin Volume,EOS Volume,Ethereum Volume,Huobi_Token Volume,Litecoin Volume,Monero Volume,NEO Volume,Stellar Volume,Tether Volume,Tezos Volume,TRON Volume,UNUS_SED_LEO Volume,USD_Coin Volume,XRP Volume
2019-11-02,0.01241,0.00685,0.04065,0.01741,0.00598,-0.00368,-0.01577,-0.00599,-0.00022,-0.00253,0.00034,0.02338,0.03415,0.02894,0,-0.01424,0.01423,0.01641,0,0.0123,13595933,2285901,8260875,4913763,1109613957,32612915,393131898,554819091,43968425,27610043,57244277,3110149,49121561,4091793786,23973071925,11407697,42782865772,6863967,222754025,4959181766
2019-11-03,-0.00296,-0.00963,0.00682,-0.01911,-0.01583,-0.01487,0.01374,-0.01513,-0.00819,-0.01018,0.00051,0.01845,0.00453,-0.03097,0,0.00386,-0.01301,-0.00995,0,-0.01703,12725873,2277170,8908406,4778668,912338653,39574860,383223801,528716218,47823167,27839594,55616064,4016523,41989830,4423395946,24597499287,13197268,43078360835,7477121,208342328,4702821914
2019-11-04,0.02589,0.01901,-0.00294,0.02138,0.03067,0.00746,-0.01577,0.05053,0.02131,0.00255,0.04893,-0.00537,0.03462,0.10043,0,0.02604,0.00663,0.00995,0,0.02935,14481198,2806769,8478598,5295787,1458809924,45666041,624589389,779468280,57224534,29730444,69298745,3247277,47475221,4775886184,30710349697,18755269,49020676026,9116221,310602968,5573759955
2019-11-05,-0.00096,-0.00747,0.00635,0.04281,0.02494,-0.00372,-0.01199,0.0481,0.01565,-0.00255,0.02771,-0.00238,-0.02474,0.07287,0,0.03886,0.00106,-0.01512,0,0.00438,12719992,2793752,7750431,5026660,1892761637,44377600,597677920,876575966,53368351,29452557,75693466,4651344,45056169,9623520693,30721581637,14756402,45011899856,12641495,294667615,6534276338
2019-11-06,0.00481,0.00196,0.04174,0.00965,0.01407,0.02214,-0.01748,0,0.01202,0.02276,0.01521,0.01934,-0.00718,-0.04645,0,0.09546,0.01678,-0.00875,0,0.02889,11626864,2473762,8063560,4282231,1607079522,56364011,617465025,669064411,53330141,41762497,58873479,4072668,41137525,4384331335,28578448466,26804412,49930905644,13814759,254889570,5857836693
2019-11-07,-0.0082,-0.01002,-0.04246,-0.04172,-0.02978,-0.01842,0.05237,-0.03371,-0.01902,-0.00501,-0.03854,-0.01096,0.00897,-0.0446,0.00995,0.17905,-0.02839,0.00604,0.00995,-0.05862,10706710,2437175,7280289,4575250,1434101633,51375182,825189185,660851064,47850187,32533217,56414114,3843947,40018531,4335397129,27556627452,82861929,49845428600,17011701,238648097,8066379505
2019-11-08,-0.0476,-0.05121,-0.05433,-0.07027,-0.03119,0.01109,-0.02181,-0.02312,-0.02026,-0.02803,-0.02141,-0.04213,-0.04848,-0.04257,-0.00995,-0.04185,-0.04316,0.00103,-0.00995,-0.05438,9152010,2692834,7790680,4612018,1635567482,49280189,870897577,740320387,49312345,35363966,55812879,3120577,39863884,3699745163,28606083668,36983835,64924512794,18633692,272825289,7118877355
2019-11-09,0.00254,0.00099,0.01698,0.04138,0.00349,0.02899,-0.06437,0.02026,0.00444,-0.00778,0.02319,0.02096,0.00187,0.01277,0,0.05811,0.009,-0.01895,-0.00009,0.01164,8968431,1995479,6026236,4355974,976274858,55388725,449167488,560859388,39418366,25507688,46525616,2448589,33321732,2585148321,20459420156,28847064,61163324011,12399446,181133955,5203822069
2019-11-10,0.0368,0.02708,0.03728,0.03589,0.03503,-0.00717,0.02012,0.02546,0.02377,0.0155,0.03005,0.02729,0.03312,0.07175,0,-0.0081,0.02283,0.01769,0.00009,0.00003,11920163,2304303,7378806,5080979,1659473051,52202028,670736855,678897490,46742593,31102557,57422468,2795359,38837499,4545271849,24552202767,25210364,62419093885,14051543,208148284,5558306256
2019-11-11,-0.01724,-0.03343,-0.02177,-0.02206,-0.01753,-0.01085,-0.02197,-0.03699,-0.02128,-0.01811,-0.03086,-0.03131,0.0108,0.02001,0,-0.0415,-0.0159,-0.01756,0,-0.01843,10315413,2275321,6453110,4094772,1327494722,34261238,559274963,581665204,42016290,28755582,48242667,3276528,41135612,3678833020,23739145075,20757460,51122476856,13096127,249046403,5178114747
