trade_date,crypto_name,DailyLogReturn,DailyReturns(%),TradedVolume
2019-11-02,Binance Coin,0.01241,1.249,13595933
2019-11-03,Binance Coin,-0.00296,-0.296,12725873
2019-11-04,Binance Coin,0.02589,2.622,14481198
2019-11-05,Binance Coin,-0.00096,-0.096,12719992
2019-11-06,Binance Coin,0.00481,0.483,11626864
2019-11-07,Binance Coin,-0.00820,-0.817,10706710
2019-11-08,Binance Coin,-0.04760,-4.649,9152010
2019-11-09,Binance Coin,0.00254,0.254,8968431
2019-11-10,Binance Coin,0.03680,3.749,11920163
2019-11-11,Binance Coin,-0.01724,-1.709,10315413
2019-11-12,Binance Coin,0.03562,3.626,11107591
2019-11-13,Binance Coin,0.01852,1.870,11982719
2019-11-14,Binance Coin,0.00047,0.047,11197000
2019-11-15,Binance Coin,-0.04522,-4.421,10848041
2019-11-16,Binance Coin,-0.00197,-0.197,10394914
2019-11-17,Binance Coin,-0.00099,-0.099,11099277
2019-11-18,Binance Coin,-0.04751,-4.640,11338050
2019-11-19,Binance Coin,-0.03262,-3.209,10884975
2019-11-20,Binance Coin,-0.02875,-2.834,11396357
2019-11-21,Binance Coin,-0.07601,-7.320,13049403
2019-11-22,Binance Coin,-0.07777,-7.482,21064545
2019-11-23,Binance Coin,0.05251,5.392,15997566
2019-11-24,Binance Coin,-0.07196,-6.943,14660179
2019-11-25,Binance Coin,-0.00065,-0.065,15876291
2019-11-26,Binance Coin,0.01688,1.703,13369698
2019-11-27,Binance Coin,0.03605,3.670,16125300
2019-11-28,Binance Coin,-0.02643,-2.609,12241435
2019-11-29,Binance Coin,0.03694,3.763,15654099
2019-11-30,Binance Coin,-0.03439,-3.380,13343428
2019-12-01,Binance Coin,-0.01409,-1.399,13021680
2019-12-02,Binance Coin,-0.02020,-2.000,13086298
2019-12-03,Binance Coin,0.00787,0.790,14421460
2019-12-04,Binance Coin,-0.00196,-0.196,15534846
2019-12-05,Binance Coin,0.03093,3.141,16456888
2019-12-06,Binance Coin,-0.00318,-0.317,15042522
2019-12-07,Binance Coin,-0.00255,-0.255,15468018
2019-12-08,Binance Coin,0.00000,0.000,14277067
2019-12-09,Binance Coin,-0.01414,-1.404,13493283
2019-12-10,Binance Coin,-0.03223,-3.172,12667924
2019-12-11,Binance Coin,-0.00940,-0.936,11478148
2019-12-12,Binance Coin,0.00000,0.000,11198673
2019-12-13,Binance Coin,0.00404,0.405,11951261
2019-12-14,Binance Coin,-0.02518,-2.487,11779022
2019-12-15,Binance Coin,-0.00138,-0.138,11563471
2019-12-16,Binance Coin,-0.06633,-6.418,12759508
2019-12-17,Binance Coin,-0.09023,-8.628,14412020
2019-12-18,Binance Coin,0.08876,9.282,18102384
2019-12-19,Binance Coin,-0.00667,-0.665,12965190
2019-12-20,Binance Coin,0.00888,0.892,15089645
2019-12-21,Binance Coin,-0.01410,-1.400,14310021
2019-12-22,Binance Coin,0.03380,3.438,14997200
2019-12-23,Binance Coin,-0.03455,-3.396,11694663
2019-12-24,Binance Coin,0.00522,0.524,13231810
2019-12-25,Binance Coin,-0.02029,-2.009,11478250
2019-12-26,Binance Coin,0.00303,0.304,11953042
2019-12-27,Binance Coin,0.01129,1.135,12375866
2019-12-28,Binance Coin,0.02586,2.620,14593713
2019-12-29,Binance Coin,0.03159,3.209,16177644
2019-12-30,Binance Coin,-0.01424,-1.413,13329227
2019-12-31,Binance Coin,-0.01590,-1.577,12014325
2020-01-01,Binance Coin,-0.00292,-0.291,12617120
2020-01-02,Binance Coin,-0.04941,-4.821,11704822
2020-01-03,Binance Coin,0.04722,4.835,13014901
2020-01-04,Binance Coin,0.01670,1.684,13229065
2020-01-05,Binance Coin,0.01571,1.584,14468050
2020-01-06,Binance Coin,0.05850,6.024,15466144
2020-01-07,Binance Coin,0.00334,0.334,12809380
2020-01-08,Binance Coin,-0.02770,-2.732,12403392
2020-01-09,Binance Coin,-0.00687,-0.685,11663218
2020-01-10,Binance Coin,0.03590,3.655,13557269
2020-01-11,Binance Coin,-0.00534,-0.532,13453202
2020-01-12,Binance Coin,0.02445,2.475,15272558
2020-01-13,Binance Coin,-0.00589,-0.587,13864860
2020-01-14,Binance Coin,0.08794,9.192,18789515
2020-01-15,Binance Coin,0.05953,6.133,22217422
2020-01-16,Binance Coin,-0.03283,-3.229,14997029
2020-01-17,Binance Coin,0.06021,6.206,19717727
2020-01-18,Binance Coin,-0.01780,-1.764,14311326
2020-01-19,Binance Coin,-0.02558,-2.525,15134164
2020-01-20,Binance Coin,-0.00231,-0.230,14128295
2020-01-21,Binance Coin,0.04513,4.616,16690481
2020-01-22,Binance Coin,-0.01837,-1.820,13227632
2020-01-24,Binance Coin,-0.04305,0.176,12243421
2020-01-25,Binance Coin,-0.00411,-0.411,12243075
2020-01-26,Binance Coin,0.02673,2.709,14447765
2020-01-27,Binance Coin,0.01423,1.433,12956704
2020-01-28,Binance Coin,0.02402,2.431,14385896
2020-01-29,Binance Coin,-0.01166,-1.159,12305009
2020-01-30,Binance Coin,0.03726,3.797,14503370
2020-01-31,Binance Coin,-0.02065,-2.044,13317170
2020-02-01,Binance Coin,0.00055,0.055,13091514
2020-02-02,Binance Coin,0.01254,1.262,13973768
2020-02-03,Binance Coin,0.00054,0.054,12340783
2020-02-04,Binance Coin,-0.01528,-1.517,11655772
2020-02-05,Binance Coin,0.05563,5.721,16122273
2020-02-06,Binance Coin,0.06934,7.180,19824446
2020-02-07,Binance Coin,0.06847,7.087,22762750
2020-02-08,Binance Coin,-0.01277,-1.269,17156381
2020-02-09,Binance Coin,0.10990,11.616,22723571
2020-02-10,Binance Coin,0.03675,3.743,29482910
2020-02-11,Binance Coin,0.01652,1.665,22305390
2020-02-12,Binance Coin,0.03186,3.237,18895744
2020-02-13,Binance Coin,-0.03969,-3.891,17877025
2020-02-14,Binance Coin,0.03325,3.381,18227085
2020-02-15,Binance Coin,-0.08528,-8.175,18032100
2020-02-16,Binance Coin,-0.02856,-2.816,19791093
2020-02-17,Binance Coin,0.00340,0.341,17813008
2020-02-18,Binance Coin,0.02142,2.166,16496101
2020-02-19,Binance Coin,-0.07462,-7.190,12858389
2020-02-20,Binance Coin,-0.00449,-0.448,16097704
2020-02-21,Binance Coin,-0.00225,-0.225,17841988
2020-02-22,Binance Coin,-0.00951,-0.947,14894419
2020-02-23,Binance Coin,0.03840,3.914,19599866
2020-02-24,Binance Coin,-0.03522,-3.460,15941194
2020-02-25,Binance Coin,-0.08027,-7.713,16808112
2020-02-26,Binance Coin,-0.07873,-7.571,22683157
2020-02-27,Binance Coin,0.01688,1.702,21418370
2020-02-28,Binance Coin,-0.01422,-1.412,24305253
2020-02-29,Binance Coin,0.03800,3.873,30404339
2020-03-01,Binance Coin,-0.03218,-3.167,19767156
2020-03-02,Binance Coin,0.04386,4.483,22117485
2020-03-03,Binance Coin,-0.00862,-0.858,18031065
2020-03-04,Binance Coin,0.01616,1.629,18378692
2020-03-05,Binance Coin,0.04122,4.208,20844108
2020-03-06,Binance Coin,0.02328,2.356,21343823
2020-03-07,Binance Coin,-0.05355,-5.214,16262571
2020-03-08,Binance Coin,-0.17324,-15.907,19669607
2020-03-09,Binance Coin,-0.02385,-2.357,24904579
2020-03-10,Binance Coin,0.01854,1.871,21542613
2020-03-11,Binance Coin,-0.02156,-2.133,17268449
2020-03-12,Binance Coin,-0.54281,-41.889,34046060
2020-03-13,Binance Coin,0.12056,12.812,66680692
2020-03-14,Binance Coin,-0.06583,-6.371,28797618
2020-03-15,Binance Coin,0.02916,2.959,32666870
2020-03-16,Binance Coin,-0.10600,-10.057,31764031
2020-03-17,Binance Coin,0.07091,7.348,29644685
2020-03-18,Binance Coin,0.00396,0.397,26192063
2020-03-19,Binance Coin,0.19346,21.344,36386974
2020-03-20,Binance Coin,-0.03312,-3.257,35921310
2020-03-21,Binance Coin,0.01504,1.515,32261869
2020-03-22,Binance Coin,-0.07756,-7.463,26586569
2020-03-23,Binance Coin,0.08252,8.602,30843265
2020-03-24,Binance Coin,0.02284,2.310,27204089
2020-03-25,Binance Coin,-0.00647,-0.645,23373430
2020-03-26,Binance Coin,0.07051,7.305,23431382
2020-03-27,Binance Coin,-0.05440,-5.295,20491862
2020-03-28,Binance Coin,-0.02671,-2.636,20725363
2020-03-29,Binance Coin,-0.06350,-6.153,18523406
2020-03-30,Binance Coin,0.07167,7.430,25759054
2020-03-31,Binance Coin,0.02332,2.360,29961084
2020-04-01,Binance Coin,0.01264,1.272,26241942
2020-04-02,Binance Coin,0.02557,2.590,30886697
2020-04-03,Binance Coin,0.02269,2.295,30743325
2020-04-04,Binance Coin,0.03310,3.366,30646897
2020-04-05,Binance Coin,-0.00653,-0.651,28962201
2020-04-06,Binance Coin,0.09379,9.832,34141907
2020-04-07,Binance Coin,-0.02688,-2.653,30431225
2020-04-08,Binance Coin,0.02556,2.589,29252652
2020-04-09,Binance Coin,0.00000,0.000,29536610
2020-04-10,Binance Coin,-0.09173,-8.765,27384160
2020-04-11,Binance Coin,0.00436,0.437,26457059
2020-04-12,Binance Coin,0.04117,4.203,29435978
2020-04-13,Binance Coin,0.04421,4.520,31252039
2020-04-14,Binance Coin,0.03273,3.327,33725891
2020-04-15,Binance Coin,-0.06244,-6.053,28263483
2020-04-16,Binance Coin,0.07332,7.608,31615719
2020-04-17,Binance Coin,0.00254,0.255,25219361
2020-04-18,Binance Coin,0.05259,5.400,29678979
2020-04-19,Binance Coin,-0.02750,-2.712,24623111
2020-04-20,Binance Coin,-0.06727,-6.506,25544050
2020-04-21,Binance Coin,0.00792,0.795,25766847
2020-04-22,Binance Coin,0.03107,3.156,25619424
2020-04-23,Binance Coin,0.02019,2.040,28198601
2020-04-24,Binance Coin,0.00062,0.062,23432207
2020-04-25,Binance Coin,0.01794,1.810,22415418
2020-04-26,Binance Coin,0.00428,0.429,24476992
2020-04-27,Binance Coin,0.00487,0.488,23741680
2020-04-28,Binance Coin,-0.00122,-0.122,21948921
2020-04-29,Binance Coin,0.06191,6.387,27301218
2020-04-30,Binance Coin,-0.02665,-2.630,28853763
2020-05-01,Binance Coin,0.03065,3.112,26217927
2020-05-02,Binance Coin,0.00114,0.114,22422043
2020-05-03,Binance Coin,-0.02593,-2.560,21959612
2020-05-04,Binance Coin,-0.00175,-0.175,22819103
2020-05-05,Binance Coin,-0.01058,-1.053,21104520
2020-05-06,Binance Coin,-0.01549,-1.537,21722315
2020-05-07,Binance Coin,0.02079,2.101,24649649
2020-05-08,Binance Coin,0.01343,1.352,22314260
2020-05-09,Binance Coin,-0.01755,-1.740,21370497
2020-05-10,Binance Coin,-0.10182,-9.681,27057495
2020-05-11,Binance Coin,-0.01316,-1.307,26622336
2020-05-12,Binance Coin,0.04151,4.238,25584177
2020-05-13,Binance Coin,0.02510,2.541,22554449
2020-05-14,Binance Coin,0.01354,1.363,23891191
2020-05-15,Binance Coin,-0.03800,-3.729,21232601
2020-05-16,Binance Coin,0.01887,1.905,21378201
2020-05-17,Binance Coin,0.01607,1.620,20375475
2020-05-18,Binance Coin,0.02003,2.023,20492488
