trade_date,Binance_Coin,Bitcoin,Bitcoin_Cash,Bitcoin_SV,Cardano,Chainlink,Crypto_com_Coin,EOS,Ethereum,Huobi_Token,Litecoin,Monero,NEO,Stellar,Tether,Tezos,TRON,UNUS_SED_LEO,USD_Coin,XRP
2019-11-02,0.0124,0.0068,0.0406,0.0174,0.006,-0.0037,-0.0158,-0.006,-0.0002,-0.0025,0.0003,0.0234,0.0342,0.0289,0,-0.0142,0.0142,0.0164,0,0.0123
2019-11-03,-0.003,-0.0096,0.0068,-0.0191,-0.0158,-0.0149,0.0137,-0.0151,-0.0082,-0.0102,0.0005,0.0184,0.0045,-0.031,0,0.0039,-0.013,-0.01,0,-0.017
2019-11-04,0.0259,0.019,-0.0029,0.0214,0.0307,0.0075,-0.0158,0.0505,0.0213,0.0026,0.0489,-0.0054,0.0346,0.1004,0,0.026,0.0066,0.01,0,0.0294
2019-11-05,-0.001,-0.0075,0.0064,0.0428,0.0249,-0.0037,-0.012,0.0481,0.0157,-0.0026,0.0277,-0.0024,-0.0247,0.0729,0,0.0389,0.0011,-0.0151,0,0.0044
2019-11-06,0.0048,0.002,0.0417,0.0097,0.0141,0.0221,-0.0175,0,0.012,0.0228,0.0152,0.0193,-0.0072,-0.0464,0,0.0955,0.0168,-0.0088,0,0.0289
2019-11-07,-0.0082,-0.01,-0.0425,-0.0417,-0.0298,-0.0184,0.0524,-0.0337,-0.019,-0.005,-0.0385,-0.011,0.009,-0.0446,0.01,0.179,-0.0284,0.006,0.01,-0.0586
2019-11-08,-0.0476,-0.0512,-0.0543,-0.0703,-0.0312,0.0111,-0.0218,-0.0231,-0.0203,-0.028,-0.0214,-0.0421,-0.0485,-0.0426,-0.01,-0.0418,-0.0432,0.001,-0.01,-0.0544
2019-11-09,0.0025,0.001,0.017,0.0414,0.0035,0.029,-0.0644,0.0203,0.0044,-0.0078,0.0232,0.021,0.0019,0.0128,0,0.0581,0.009,-0.0189,-0.0001,0.0116
2019-11-10,0.0368,0.0271,0.0373,0.0359,0.035,-0.0072,0.0201,0.0255,0.0238,0.0155,0.0301,0.0273,0.0331,0.0717,0,-0.0081,0.0228,0.0177,0.0001,0
2019-11-11,-0.0172,-0.0334,-0.0218,-0.0221,-0.0175,-0.0109,-0.022,-0.037,-0.0213,-0.0181,-0.0309,-0.0313,0.0108,0.02,0,-0.0415,-0.0159,-0.0176,0,-0.0184
2019-11-12,0.0356,0.0066,0.0072,0.0008,0.0132,0.0251,0.0032,0.0087,0.0073,-0.0026,-0.0091,0.0053,0.0841,-0.0349,0,-0.0085,0.0268,0.0009,0,-0.0097
2019-11-13,0.0185,-0.0008,-0.0096,-0.0179,-0.0063,0.0685,-0.006,0,0.0076,0.0104,-0.0038,0.0481,0.0829,-0.0065,0,-0.0348,0.0251,-0.0159,0,0.0023
2019-11-14,0.0005,-0.0114,-0.0245,-0.0218,-0.0086,0.0132,0.0615,-0.0174,-0.0121,-0.0157,-0.0279,0.0032,-0.037,-0.0243,0.01,0.0766,-0.0305,-0.0003,0.01,-0.0097
2019-11-15,-0.0452,-0.0251,-0.0546,-0.0235,0.0196,-0.0066,-0.0386,-0.0237,-0.0299,-0.0403,-0.0276,-0.0562,-0.0541,-0.0327,-0.01,-0.0418,-0.0468,0.0023,-0.01,-0.0328
2019-11-16,-0.002,0.0069,0.0112,0.0049,0.0045,-0.0099,-0.0102,0.0207,0.0156,0.0027,0.0131,0.0008,0.0343,-0.0059,0.01,-0.0086,0.0095,0.0119,0.01,0.0085
2019-11-17,-0.001,0.0032,0.0039,-0.0008,0.0279,-0.0269,0.0221,0.0029,0.0096,-0.0055,0.0169,0.0021,-0.0244,0.0032,0,0,0.0053,0.002,0,0.0052
2019-11-18,-0.0475,-0.0318,-0.0716,-0.0534,-0.0363,-0.0347,-0.0099,-0.0572,-0.0249,-0.0335,-0.0476,-0.0454,-0.0584,-0.0546,0,0.0586,-0.0825,-0.0042,0,-0.0369
2019-11-19,-0.0326,-0.0125,-0.0233,-0.0648,-0.0292,-0.025,-0.0585,-0.0251,-0.0173,-0.0259,-0.021,-0.0071,0.0266,-0.0381,0,-0.0082,-0.0191,-0.0113,0,0.0033
2019-11-20,-0.0288,-0.022,-0.0007,-0.0362,-0.0326,-0.0183,-0.0026,-0.016,-0.01,-0.0206,-0.006,-0.0121,-0.0206,-0.0038,0,-0.0082,-0.0252,-0.0045,0,-0.0202
2019-11-21,-0.076,-0.0491,-0.075,-0.0608,-0.0697,-0.0609,-0.0477,-0.0911,-0.0845,-0.0805,-0.0831,-0.0732,-0.0434,-0.0601,-0.01,0,-0.0763,-0.0187,-0.01,-0.0307
2019-11-22,-0.0778,-0.0464,-0.0812,-0.0336,-0.0333,-0.0817,-0.0662,-0.0733,-0.0718,-0.0947,-0.0662,-0.0545,-0.1312,-0.036,0,0.0082,-0.0629,-0.0097,0,-0.0512
2019-11-23,0.0525,0.0138,0.0395,0.1194,0.0317,0.0417,0.0247,0.0336,0.0207,-0.0036,0.0226,0.0163,0.0444,0.0144,0.01,0.1305,0.0471,0.0231,0.01,0.0196
2019-11-24,-0.072,-0.0485,-0.0577,-0.0843,-0.0746,-0.0807,-0.0198,-0.1045,-0.0715,-0.1494,-0.0852,-0.0776,-0.1027,-0.0594,0.0099,-0.0366,-0.0859,-0.0158,0,-0.0566
2019-11-25,-0.0007,0.0138,0.0197,0.0403,0.0128,0.0088,-0.0861,0.0361,0.0252,0.0205,0.0243,0.0402,-0.0022,0.0125,-0.0198,-0.0776,0.0257,-0.0348,-0.01,-0.0207
2019-11-26,0.0169,0.0101,0.0175,0.0306,0.0259,0,-0.0025,0.0348,0.0169,0.0474,0.0309,0.0298,0.0227,0.0165,0.01,0,0.0758,0.01,0.01,0.016
2019-11-27,0.036,0.0425,0.0345,0.0006,0.0541,-0.0222,0.0224,0.0226,0.0268,0.0153,0.0155,0.0788,0.0159,0.0086,0,0.016,0.0464,-0.0053,0,0.0131
