trade_date,Binance_Coin,Bitcoin,Bitcoin_Cash,Bitcoin_SV,Cardano,Chainlink,Crypto_com_Coin,EOS,Ethereum,Huobi_Token,Litecoin,Monero,NEO,Stellar,Tether,Tezos,TRON,UNUS_SED_LEO,USD_Coin,XRP
2019-11-02,1.249,0.687,4.148,1.757,0.6,-0.368,-1.564,-0.597,-0.022,-0.253,0.034,2.366,3.474,2.937,0,-1.414,1.433,1.655,0,1.237
2019-11-03,-0.296,-0.958,0.685,-1.893,-1.57,-1.476,1.384,-1.502,-0.816,-1.013,0.051,1.862,0.454,-3.049,0,0.387,-1.293,-0.99,0,-1.688
2019-11-04,2.622,1.919,-0.294,2.161,3.115,0.749,-1.565,5.183,2.154,0.256,5.014,-0.536,3.523,10.564,0,2.638,0.665,1,0,2.979
2019-11-05,-0.096,-0.745,0.637,4.374,2.526,-0.372,-1.192,4.928,1.578,-0.255,2.81,-0.238,-2.443,7.559,0,3.962,0.106,-1.501,0,0.439
2019-11-06,0.483,0.196,4.263,0.97,1.417,2.239,-1.733,0,1.21,2.302,1.532,1.953,-0.716,-4.538,0,10.016,1.693,-0.871,0,2.931
2019-11-07,-0.817,-0.997,-4.157,-4.086,-2.934,-1.825,5.377,-3.315,-1.884,-0.5,-3.781,-1.09,0.901,-4.362,1,19.608,-2.799,0.605,1,-5.694
2019-11-08,-4.649,-4.992,-5.288,-6.786,-3.071,1.115,-2.157,-2.286,-2.006,-2.764,-2.118,-4.125,-4.732,-4.167,-0.99,-4.098,-4.225,0.103,-0.99,-5.293
2019-11-09,0.254,0.099,1.712,4.225,0.35,2.941,-6.234,2.047,0.445,-0.775,2.346,2.119,0.187,1.285,0,5.983,0.905,-1.877,-0.009,1.171
2019-11-10,3.749,2.745,3.799,3.654,3.565,-0.714,2.032,2.579,2.405,1.562,3.051,2.766,3.368,7.438,0,-0.806,2.31,1.785,0.009,0.003
2019-11-11,-1.709,-3.288,-2.153,-2.182,-1.738,-1.079,-2.173,-3.631,-2.106,-1.795,-3.039,-3.083,1.086,2.021,0,-4.065,-1.577,-1.741,0,-1.827
2019-11-12,3.626,0.661,0.724,0.076,1.327,2.545,0.325,0.87,0.728,-0.261,-0.905,0.533,8.773,-3.429,0,-0.847,2.713,0.089,0,-0.97
2019-11-13,1.87,-0.084,-0.951,-1.774,-0.628,7.092,-0.594,0,0.76,1.047,-0.375,4.931,8.642,-0.644,0,-3.419,2.544,-1.581,0,0.227
2019-11-14,0.047,-1.137,-2.419,-2.153,-0.858,1.325,6.345,-1.724,-1.2,-1.554,-2.749,0.321,-3.636,-2.398,1,7.965,-3.003,-0.027,1,-0.969
2019-11-15,-4.421,-2.482,-5.312,-2.327,1.983,-0.654,-3.791,-2.339,-2.946,-3.947,-2.726,-5.462,-5.267,-3.218,-0.99,-4.098,-4.572,0.233,-0.99,-3.231
2019-11-16,-0.197,0.692,1.13,0.493,0.45,-0.987,-1.017,2.096,1.568,0.274,1.315,0.081,3.485,-0.593,1,-0.855,0.951,1.197,1,0.853
2019-11-17,-0.099,0.318,0.388,-0.08,2.828,-2.658,2.236,0.293,0.965,-0.546,1.707,0.21,-2.406,0.321,0,0,0.527,0.199,0,0.518
2019-11-18,-4.64,-3.132,-6.906,-5.195,-3.564,-3.413,-0.989,-5.556,-2.463,-3.297,-4.65,-4.442,-5.67,-5.314,0,6.034,-7.918,-0.419,0,-3.619
2019-11-19,-3.209,-1.241,-2.306,-6.278,-2.877,-2.474,-5.682,-2.477,-1.717,-2.557,-2.077,-0.707,2.7,-3.738,0,-0.813,-1.891,-1.124,0,0.331
2019-11-20,-2.834,-2.18,-0.07,-3.557,-3.206,-1.812,-0.263,-1.587,-0.992,-2.041,-0.593,-1.204,-2.036,-0.379,0,-0.82,-2.484,-0.453,0,-2.002
2019-11-21,-7.32,-4.79,-7.222,-5.903,-6.732,-5.904,-4.658,-8.71,-8.105,-7.738,-7.976,-7.056,-4.242,-5.83,-0.99,0,-7.342,-1.849,-0.99,-3.023
2019-11-22,-7.482,-4.529,-7.798,-3.301,-3.276,-7.843,-6.403,-7.067,-6.931,-9.032,-6.407,-5.301,-12.297,-3.536,0,0.826,-6.095,-0.966,0,-4.991
2019-11-23,5.392,1.387,4.025,12.677,3.217,4.255,2.505,3.422,2.096,-0.355,2.289,1.638,4.536,1.449,1,13.934,4.82,2.337,1,1.981
2019-11-24,-6.943,-4.73,-5.609,-8.083,-7.185,-7.755,-1.961,-9.926,-6.903,-13.879,-8.171,-7.465,-9.763,-5.77,0.99,-3.597,-8.235,-1.567,0,-5.506
2019-11-25,-0.065,1.393,1.994,4.113,1.293,0.885,-8.249,3.673,2.555,2.066,2.459,4.106,-0.219,1.255,-1.961,-7.463,2.599,-3.42,-0.99,-2.044
2019-11-26,1.703,1.011,1.764,3.109,2.621,0,-0.252,3.543,1.7,4.858,3.142,3.028,2.3,1.663,1,0,7.872,1.008,1,1.611
2019-11-27,3.67,4.34,3.513,0.065,5.558,-2.193,2.262,2.281,2.712,1.544,1.565,8.198,1.606,0.861,0,1.613,4.748,-0.529,0,1.322
2019-11-28,-2.609,-0.91,-0.758,-1.409,0.361,1.794,-3.169,-1.859,-0.843,1.521,-1.979,-3.449,-1.791,-1.409,-0.99,1.587,-1.678,1.082,0,-0.227
2019-11-29,3.763,3.995,2.775,2.99,5.698,3.084,3.459,6.061,2.36,4.494,3.867,3.554,4.721,1.592,0,2.344,1.984,-0.767,-0.99,2.515
2019-11-30,-3.38,-2.469,-2.624,-1.68,-2.409,-4.274,-4.034,-1.429,-1.777,0,-2.864,-2.109,-3.893,0.827,0,1.527,-4.249,0.335,-0.234,-1.626
2019-12-01,-1.399,-1.92,-1.252,-3.148,-2.073,-3.125,-2.734,0.725,-0.885,0.358,0.484,-2.154,-0.959,-2.614,0,-6.015,2.87,0.67,-0.121,-0.504
2019-12-02,-2,-1.378,-0.236,-3.615,-3.867,-3.687,-2.267,-3.237,-1.409,6.429,-3.961,0.821,-3.445,-3.45,0,-0.8,-4.408,-0.765,0.235,-2.553
2019-12-03,0.79,-0.025,-1.298,-4.536,-0.365,1.914,0.704,0.372,-0.738,-1.007,-0.96,-1.11,0.223,-0.175,0,4.032,0.026,0.543,0.121,0.132
2019-12-04,-0.196,-0.931,-1.677,-0.542,-1.35,-3.756,0.737,-1.852,-0.818,-4.068,-0.419,-0.711,-3.003,-1.002,1,-3.101,-5.396,0.239,0,-1.602
2019-12-05,3.141,2.707,1.911,0.513,1.246,-0.976,12.941,1.887,1.704,0.353,0.243,1.81,1.032,0.179,0,4,1.234,0.888,1,3.041
2019-12-06,-0.317,1.325,-0.033,1.126,1.178,2.956,0.432,1.481,-0.04,-0.352,0.817,0.444,-0.454,-0.883,-0.99,6.154,0.698,-1.176,-0.99,1.156
2019-12-07,-0.255,0.122,-0.267,-0.68,1.148,-1.435,0.054,0,-0.282,0.353,-0.066,0.866,2.509,0.073,1,5.072,-0.768,-0.447,1,1.304
2019-12-08,0,0.107,0.804,1.142,0.493,0,-0.379,0.73,1.674,-0.704,0.679,-0.877,1.112,1.932,0,11.034,1.089,-0.026,0,0.871
2019-12-09,-1.404,-2.161,-2.104,-2.042,-3.761,1.456,-0.3,-3.261,-2.003,-1.418,-2.198,0.129,-3.3,-2.997,-0.99,-3.106,-1.932,0.006,0,-2.162
2019-12-10,-3.172,-1.659,-0.739,0.985,-2.34,8.612,-1.545,-1.873,-1.322,-2.158,-0.668,-2.394,-1.934,-1.548,1,-5.128,-2.184,-1.126,0,-0.51
2019-12-11,-0.936,-0.834,-0.538,-1.826,0.134,-3.965,-0.439,-1.527,-1.819,0,-1.546,0.113,-0.928,-1.707,0,6.757,0.184,-0.671,-0.99,-1.003
