Marketcap Rank,crypto_name,ticker,crypto_type,minable,Yearly_Return_USD,Yearly_TradedVolume,Avg_market_cap,Yearly_Return(%)
1,Bitcoin,BTC,Coin,Yes,4555.104,1204211324,168536186658.143,48.85
2,Ethereum,ETH,Coin,Yes,183.232,21491728728,26715580602.1145,99.62
3,XRP,XRP,Coin,No,4.690,2984910421177,10004027807.0309,1583.10
4,Tether,USDT,Token,No,0.002,13915768770702,8051549512.8489,0.20
5,Bitcoin Cash,BCH,Coin,Yes,-14.680,3756702753,4798325462.65363,-5.05
6,Bitcoin SV,BSV,Coin,Yes,87.720,2785299370,3365833231.03641,66.41
7,Litecoin,LTC,Coin,Yes,0.218,22753449352,3258416971.20448,0.37
8,Binance Coin,BNB,Coin,No,7.725,6118724973,2877939953.13445,38.11
9,EOS,EOS,Coin,No,-0.996,318046392480,2741565898.16201,-29.92
10,Chainlink,LINK,Token,No,8.351,37278895830,2029772519.45055,308.14
11,Cardano,ADA,Coin,Yes,0.061,1162717708605,1867651168.43258,142.74
12,Tezos,XTZ,Coin,No,1.233,21116177683,1642884918.66947,142.50
13,Crypto.com Coin,CRO,Token,No,0.035,132764948518,1523820900.71703,93.74
14,Stellar,XLM,Coin,No,7.557,1944025886780,1408658279.90756,10604.68
15,TRON,TRX,Coin,Yes,1.709,25274900748644,1268874990.65169,8565.45
16,Monero,XMR,Coin,Yes,59.721,1426554134,1252473134.90704,95.85
17,UNUS SED LEO,LEO,Token,No,0.221,3917259015,1077166534.47527,21.86
18,USD Coin,USDC,Token,No,-0.001,174462154101,1001179606.59341,-0.09
19,Huobi Token,HT,Token,No,-0.149,16203168632,886176913.077135,-3.77
20,NEO,NEO,Coin,No,4.564,16314396802,843776264.368715,41.42
