trade_date,Binance_Coin,Bitcoin,Bitcoin_Cash,Bitcoin_SV,Cardano,Chainlink,Crypto_com_Coin,EOS,Ethereum,Huobi_Token,Litecoin,Monero,NEO,Stellar,Tether,Tezos,TRON,UNUS_SED_LEO,USD_Coin,XRP
2019-11-02,13595933,2285901,8260875,4913763,1109613957,32612915,393131898,554819091,43968425,27610043,57244277,3110149,49121561,4091793786,23973071925,11407697,42782865772,6863967,222754025,4959181766
2019-11-03,12725873,2277170,8908406,4778668,912338653,39574860,383223801,528716218,47823167,27839594,55616064,4016523,41989830,4423395946,24597499287,13197268,43078360835,7477121,208342328,4702821914
2019-11-04,14481198,2806769,8478598,5295787,1458809924,45666041,624589389,779468280,57224534,29730444,69298745,3247277,47475221,4775886184,30710349697,18755269,49020676026,9116221,310602968,5573759955
2019-11-05,12719992,2793752,7750431,5026660,1892761637,44377600,597677920,876575966,53368351,29452557,75693466,4651344,45056169,9623520693,30721581637,14756402,45011899856,12641495,294667615,6534276338
2019-11-06,11626864,2473762,8063560,4282231,1607079522,56364011,617465025,669064411,53330141,41762497,58873479,4072668,41137525,4384331335,28578448466,26804412,49930905644,13814759,254889570,5857836693
2019-11-07,10706710,2437175,7280289,4575250,1434101633,51375182,825189185,660851064,47850187,32533217,56414114,3843947,40018531,4335397129,27556627452,82861929,49845428600,17011701,238648097,8066379505
2019-11-08,9152010,2692834,7790680,4612018,1635567482,49280189,870897577,740320387,49312345,35363966,55812879,3120577,39863884,3699745163,28606083668,36983835,64924512794,18633692,272825289,7118877355
2019-11-09,8968431,1995479,6026236,4355974,976274858,55388725,449167488,560859388,39418366,25507688,46525616,2448589,33321732,2585148321,20459420156,28847064,61163324011,12399446,181133955,5203822069
2019-11-10,11920163,2304303,7378806,5080979,1659473051,52202028,670736855,678897490,46742593,31102557,57422468,2795359,38837499,4545271849,24552202767,25210364,62419093885,14051543,208148284,5558306256
2019-11-11,10315413,2275321,6453110,4094772,1327494722,34261238,559274963,581665204,42016290,28755582,48242667,3276528,41135612,3678833020,23739145075,20757460,51122476856,13096127,249046403,5178114747
2019-11-12,11107591,2311415,6386183,3664799,1828869263,53352154,525212811,694054345,41856346,19717159,54099387,3037140,58537276,4586038934,23449537112,20077566,52533389305,12162982,231927404,5131528862
2019-11-13,11982719,1991130,5404703,3511105,970276487,71699351,497126135,525326087,39153152,19619121,50535734,3267172,50468445,3128307326,20071939197,20357251,49629738012,10404716,221641563,4689386639
2019-11-14,11197000,2179076,6484730,4184509,1230679567,65392129,592320987,500965726,42070563,56234990,50444243,3114430,41979932,2868685797,21802158436,35726254,50610582858,10303914,205695939,4653718656
2019-11-15,10848041,2534505,7050393,4029403,1873697657,51693506,945211993,609049154,48104761,63471032,54518570,2341339,39894051,3019711358,25165567734,26948421,51802423491,12202682,216304918,5820001500
2019-11-16,10394914,1935766,5566938,3591212,1401791255,31673787,379662809,434499300,37320406,61195845,48836456,2706059,34539512,2404251870,18135228768,22909037,47281208628,9227942,195289529,4548972109
2019-11-17,11099277,2179803,5838276,3481345,1670544351,33366694,435401910,460645882,39972456,45113464,54428652,3242759,33417856,2736654666,20216325898,19382041,47596869053,8591500,345513335,4813756797
2019-11-18,11338050,2555709,8151731,3809252,2389421539,43957794,628482057,683331916,42592770,41948951,53826127,4008483,39613020,3495176223,23863526697,31466874,54666888454,11937244,315586026,5578726738
2019-11-19,10884975,2553200,8619023,4425209,2115064926,62355718,457985043,722329364,42102116,36357913,53911935,3282097,42821326,4291550379,22875336957,29221847,63311821500,13923202,267833359,5547894219
2019-11-20,11396357,2558216,7390816,4795875,1668760248,61415239,455428821,628229864,40807482,25894936,51550159,3069887,41587183,3350510465,22035582600,27658495,62635994067,10709973,240794987,5194577674
2019-11-21,13049403,2873544,10202841,5260934,1686311520,63618983,158824851,857415336,50696235,35385962,59503595,2681111,44607247,3957140245,25875362021,43818204,71862914614,13583168,272224086,6407745941
2019-11-22,21064545,4584184,15534822,6251628,2470025042,82333904,174973543,1319457370,77122830,70881403,75828344,2999669,52327160,5026122606,39068899485,57047140,88250177501,19512427,360936425,8466028050
2019-11-23,15997566,2859450,11296965,7169626,1562552384,62231831,72350966,755841862,54589867,50510604,57031099,3332014,43796415,4387326081,24482657433,94891027,76714564696,14161346,276694997,6329843275
2019-11-24,14660179,4213500,10077616,5722289,1704255698,63664140,81710484,1124212758,52541901,49407711,57998842,2994679,41478765,13571487535,25606449026,36048403,83309361113,14577864,203294993,12766982637
2019-11-25,15876291,6014525,11591037,6270189,2699598638,74930300,119283593,1298897677,75785513,82215559,75269982,3140875,48905647,9588002516,33315294573,50351943,92471637800,18122145,291421910,42620825752
2019-11-26,13369698,2941906,8569330,4978076,1572581701,62968557,138931229,732825348,51775368,41808694,57130084,3136315,40312002,3770772532,23428319094,44216781,80012435828,12363504,252400662,6001917748
2019-11-27,16125300,3253066,9061971,4674054,2021029457,66316153,171880327,844950129,58136932,48437511,62545410,2880766,43572848,4434675742,27145240900,38178617,128089440537,14313652,317249019,7194939400
2019-11-28,12241435,2540901,6336458,3688592,1552765322,64891607,150019097,568480162,48216664,47352082,56010500,2760821,37127603,3822306032,21395814772,34834867,79108999657,11752201,294962463,5533959586
2019-11-29,15654099,2589233,6653969,4203460,2468738243,69699328,139015278,698505646,48882146,46676787,61381955,2636491,40040124,4117777691,22304763156,24919092,75064882854,12725133,242038252,5830253609
2019-11-30,13343428,2238385,5900535,3609636,1568393266,53721214,171159583,553219713,42658205,56720801,55593216,2160077,38369535,3842985462,19145198648,21747475,69841249795,9917779,225580817,5080164155
2019-12-01,13021680,2497107,5793899,3561247,1490810253,62049747,200845535,646984489,46770357,55790604,58439199,602257,33579941,3652631516,21027847332,18703540,77682376538,8362902,196553306,5206812024
2019-12-02,13086298,2316793,5392756,3841492,1109418080,54691174,160114372,600327367,44433381,54265365,57317482,2107499,36698385,3575608304,19093390526,22147869,69150406001,8398028,237240917,5338172218
2019-12-03,14421460,2021219,5004232,4155712,904449818,52063516,178195955,516487527,41777522,51471689,56079214,2881486,33776069,2692096093,16691088420,32776462,55562232540,7642461,220247233,4631453768
2019-12-04,15534846,2973370,6827217,5144151,1372567749,69455639,55356561,744544541,53380863,51679939,65184499,2575894,37843399,3730540597,24638706403,36258860,68540635331,8123930,266815750,6544033382
2019-12-05,16456888,2559952,5672204,4174204,1062109358,61872513,210092767,526353972,45580475,44239890,62300114,2777010,37533839,3435624075,20961831286,25165778,73228700214,8205701,277370619,6484734522
2019-12-06,15042522,2414684,5249265,3559232,788829107,55048213,197833417,504439136,43283517,33489885,56833655,2198012,33823329,3211193259,18927550995,28889530,69358705465,8577209,302485361,5591482433
2019-12-07,15468018,2046385,4897782,3286018,782397306,42611181,214286784,396451947,39678033,48342085,52137454,2742977,37495265,2933304498,16321095447,35277677,63667418353,8119203,301798069,4729868611
2019-12-08,14277067,2038268,4913099,2634270,660266495,50055566,198477621,393243206,42940554,30578541,49490727,2228853,33830946,2864116511,16392870580,43908128,61957973968,7698362,339979516,4871192286
2019-12-09,13493283,2388469,5511396,3243227,815813976,71179183,160463587,518967926,45037943,31794369,54427389,2426386,32743513,3328376517,19187272016,39780072,64687184410,7576296,286765650,5447224303
2019-12-10,12667924,2486410,5601040,3293498,876506877,100350390,113184465,498289662,46584122,29336799,52461387,3068437,35290362,3477375792,19050106946,43631343,64349807002,8590457,334023883,5299300426
2019-12-11,11478148,2255932,5252238,3065325,1277957276,62095532,159550275,540603640,48552367,30509501,56602595,2487123,34875756,3777638924,19431618791,46802168,64914918467,8541558,219083460,4803630079
2019-12-12,11198673,2617752,6151810,4592180,1139473493,66399522,92387782,650529827,54565080,30856341,62269634,2157981,52623898,3927992809,20919798548,64346344,71434109625,7260291,253063672,5827845191
2019-12-13,11951261,2360086,5997288,4108179,1152841327,56115715,88844596,490419318,50009019,34913355,62499882,1942636,48610983,3145893918,19491206417,67510489,69618975536,7182790,233674465,5686190171
2019-12-14,11779022,2381077,5963592,3913905,1086586931,51489274,300561118,489342621,48977221,41022618,61739548,1891504,49778292,3415134632,18924299204,48467046,69173514408,8060638,218506729,4925651043
2019-12-15,11563471,2364806,6577348,3867980,774198878,55862560,325377565,466701480,50599017,44952145,60999203,2045749,47893981,3581537988,19478078836,40457496,73311054272,7591442,242831225,5372776090
2019-12-16,12759508,2870228,7978277,4286483,1183316348,47889012,263323628,801825521,64991920,45841698,72415106,2029908,50246550,3765459634,23894286942,41019430,80988262892,7034610,266472193,6980966052
2019-12-17,14412020,3295337,9464265,5565041,1641253023,92092610,223701494,974296760,70701113,55512378,84801155,2150392,51960760,4825815296,28168616700,57923601,83977818231,9593407,343638548,10536196923
2019-12-18,18102384,4575094,13462569,7186836,1844186864,115347391,137218371,1156927306,92803929,85166356,98780751,2494800,61248499,5637983767,36096049892,57758678,98838937495,9459586,500328892,11245924623
2019-12-19,12965190,3578073,10734618,5509639,1295522898,81575383,171544858,796474598,72898892,55291239,78653696,2622800,46438852,4633040769,29735202726,40402305,88962541922,8989825,324779863,8207751201
2019-12-20,15089645,3138864,7502856,4721348,979430496,66499830,415452567,663135637,63265561,42145481,69289594,2158101,43962434,4302138897,27219822082,37577772,89608430186,8262007,283489895,9144316806
2019-12-21,14310021,2680441,6746040,4482733,751656617,46615708,272947450,516829521,57924298,39265011,66139706,2291886,42280537,3856816956,21922035981,31965532,81626506928,8143684,315492430,6207519058
2019-12-22,14997200,3146967,8059517,4489803,733997933,63032522,227490066,656510471,70027320,47356551,76638599,2574762,46668103,4107719492,26779447001,34209782,92558297468,7966599,302697854,6452201816
2019-12-23,11694663,3744047,9010538,5481375,1079955960,68360947,209441148,839853601,73741265,59343676,76392517,2376817,49250500,4092353747,31829786384,37513997,86040345180,10062185,318337304,7233390747
2019-12-24,13231810,3132766,7973047,4816296,918386806,70466745,204905052,763630316,61798577,39173987,70181130,2234919,47531993,4238118690,27630273172,25041232,86192175571,9282306,227543504,6554124790
2019-12-25,11478250,2953824,8876603,4377754,577080012,47005985,176069362,649541903,65891895,36727604,68217525,1855619,44236444,3634861213,24380958099,27874976,79641980498,7404435,272596414,5955028996
2019-12-26,11953042,3139976,6971747,4441370,832762164,43267951,200210023,729173131,68042182,39508939,70430752,1945158,42486100,3611067109,27081119738,34279981,83134935591,8611652,218702348,6179451444
2019-12-27,12375866,3135421,10294356,5264550,1261440881,39483460,241892773,697682226,65460348,35809221,72431161,2048246,40954314,4088709399,26484863728,27764407,83367835729,8490235,270529245,6034964975
2019-12-28,14593713,2925186,9321515,5376194,689882395,28493230,763625767,719041555,63157348,34969504,77615774,2002125,39127161,3464128720,25718920851,32440937,86514958270,7986711,262702474,6082150165
2019-12-29,16177644,3045357,8852676,5853578,697810913,28421750,241344568,649903887,73808551,37986614,82621583,1953216,48849669,3253979249,26657374932,34404317,80018098173,7977762,275679818,6029491264
2019-12-30,13329227,3108817,8547114,6189239,646470403,30554091,331734176,651332390,73278370,38521360,77083897,1426447,41974216,3636436693,26969251255,31149205,86996337030,7991285,387534840,6372515727
2019-12-31,12014325,2922417,8277549,5498680,762213429,32633345,315443398,596882347,68157919,33688984,71730855,1354073,40119073,3446183092,24097500204,31819851,79798574178,10111329,265712751,5765892252
2020-01-01,12617120,2579681,7120012,4639118,692227320,38951417,335447571,552280505,60944129,38425221,66770449,1680761,38874281,3714413102,21508359231,26207702,73596617337,7449647,242586528,5400618854
2020-01-02,11704822,2932837,7162218,4464849,629640502,29706550,306390298,621581798,62218421,45932992,67444456,1784594,37744149,3390886036,24214300550,28870770,76559542726,7328818,316684710,5701722708
2020-01-03,13014901,3923349,12648727,7133160,901305643,34534112,400361531,851228462,80104330,52407980,79303534,3011703,42709132,3781501533,32420287856,34699487,84354319483,7859343,371081353,6656901820
2020-01-04,13229065,2499979,8302232,6712312,858910389,26908575,283775186,590885646,55199112,44848394,66313537,1219172,39785054,3327732957,21478238129,30044162,73591640154,7455132,331182483,5152840568
2020-01-05,14468050,2661598,7472808,5895546,619746610,30266270,220071075,742583441,55475772,40900696,69455526,980813,44644228,3622269472,23851625887,29070817,79545477011,7516008,331284697,5991749290
2020-01-06,15466144,3066592,9935666,6967818,1055337158,43168629,282358357,845399186,64821064,59464567,74952171,1278717,51612366,5255476604,29313905337,33531847,85512446842,8950234,381586583,11037985119
2020-01-07,12809380,3611053,9162866,6695538,1387604247,69590777,141038877,853292783,64327089,76356040,78307067,1219181,48997414,4838367980,32765511976,37654766,77464028146,8929791,400408876,10278178955
2020-01-08,12403392,3899709,10012635,6685616,1338922321,89893292,154091773,950368490,65921313,70386043,78939006,1178526,48655500,4333055776,35175740304,37590494,78774506786,9498111,410995417,8427275789
2020-01-09,11663218,3013484,7948188,5863038,729806742,50315063,279805759,673977914,54933809,50581176,65727473,1092370,37648001,3608697641,27887237032,36394174,67106300583,9553107,306053901,6480067109
2020-01-10,13557269,3579118,11713987,12340846,1296790873,49836079,379745328,942538416,64217263,69404255,81067383,1113296,42485899,4560676179,34036852758,32218894,80646868222,9639239,348355794,8119012361
2020-01-11,13453202,3149966,9360199,11054846,1722831734,47956541,394264038,861917020,65057747,48621394,79922056,1621805,43214019,4615929089,31049760361,29847986,80471397769,10031090,287180029,7807566868
2020-01-12,15272558,2822353,8199782,8619695,1517714823,38561593,391662926,831256696,59059331,41583798,76915546,883850,45935737,4321692467,27250055613,23276494,77813654681,9129397,330297498,6999693228
2020-01-13,13864860,2752446,7035020,7233008,1508164782,35496949,179585497,655494113,57763044,43631928,66187972,1002876,39686112,4653428086,26468468000,28471110,71938878512,8852744,343177235,6171360462
2020-01-14,18789515,5284223,21426039,24989583,3186737364,59219327,146711860,1694386106,107755365,114217710,105896829,1881584,64061558,6486768179,57687160761,40670097,93310974098,9794790,469120389,11803359308
2020-01-15,22217422,4548155,15197735,14771964,2644497643,62368184,261922423,1438059154,91355514,91410607,87028899,2537445,60735941,6253436597,49054340074,44460988,85990363898,8813549,493412531,11079460818
2020-01-16,14997029,3572453,10980033,12679682,1827080458,58817941,350323173,1136484566,83087490,51630562,75174615,1771624,49110191,5833334384,40775434268,47563421,77499525216,9228294,430662074,8958142423
2020-01-17,19717727,4120828,14802091,11900234,2461135222,99201623,416592320,1353232422,89489464,56946468,85088685,1759229,52992247,9129838471,47282031399,42789805,81673952566,9902976,479116540,10347889509
2020-01-18,14311326,3618850,17113096,12121684,1985828096,61030763,207111862,1066716499,86259380,48042810,73218388,1228421,53808818,10229664755,43805026250,33431068,78298229100,10331496,411608325,9920540528
2020-01-19,15134164,3877523,13162177,12128946,2100360682,65041851,183124014,1018507703,80115523,50986429,71628301,1085410,48844484,9195389615,42711852499,31795075,76267334110,9577665,421836015,9237215459
2020-01-20,14128295,3043371,9856290,11335004,1633058007,56257754,358739592,716756154,66715734,39753853,57503286,953373,40891518,9352995364,33104143251,40016047,76174373458,9562439,344235054,7351698269
