Marketcap Rank,crypto_name,ticker,crypto_type,minable,Yearly_Return_USD,Yearly_TradedVolume,Avg_market_cap,Max_trade_date,Min_trade_date,DayDiff,price_usd,Yearly_Return(%),YearlyLogReturn
1,Bitcoin,BTC,Coin,Yes,4618.724017925,1201941018,168536186658.143,2020-11-02,2019-11-02,366,9324.72,49.53,0.40234
2,Ethereum,ETH,Coin,Yes,186.138247774,21534519383,26715580602.1145,2020-11-02,2019-11-02,366,183.93,101.20,0.69913
3,XRP,XRP,Coin,No,-0.0472710289379,2989861986724,10004027807.0309,2020-11-02,2019-11-02,366,0.296263,-15.96,-0.17383
4,Tether,USDT,Token,No,1.95669437679999e-03,13938867232196,8051549512.8489,2020-11-02,2019-11-02,366,1,0.20,0.00195
5,Bitcoin Cash,BCH,Coin,Yes,-3.14132965099999,3748826434,4798325462.65363,2020-11-02,2019-11-02,366,290.72,-1.08,-0.01086
6,Bitcoin SV,BSV,Coin,Yes,89.999561593,2780470430,3365833231.03641,2020-11-02,2019-11-02,366,132.08,68.14,0.51963
7,Litecoin,LTC,Coin,Yes,6.07912469999843e-02,22799108337,3258416971.20448,2020-11-02,2019-11-02,366,58.6,0.10,0.00104
8,Binance Coin,BNB,Coin,No,7.94418375,6108189622,2877939953.13445,2020-11-02,2019-11-02,366,20.27,39.19,0.33068
9,EOS,EOS,Coin,No,-1.015923946,317512966846,2741565898.16201,2020-11-02,2019-11-02,366,3.33,-30.51,-0.36396
10,Chainlink,LINK,Token,No,8.340704259,37246166286,2029772519.45055,2020-11-02,2019-11-02,366,2.71,307.78,1.40555
11,Cardano,ADA,Coin,Yes,0.0599689340496,1163407883677,1867651168.43258,2020-11-02,2019-11-02,366,0.042599,140.78,0.87869
12,Tezos,XTZ,Coin,No,1.2911333993367,21124171275,1642884918.66947,2020-11-02,2019-11-02,366,0.865528,149.17,0.91298
13,Crypto.com Coin,CRO,Token,No,0.0345885165821,132401305266,1523820900.71703,2020-11-02,2019-11-02,366,0.037504,92.23,0.65350
14,Stellar,XLM,Coin,No,6.54206996049997e-03,1948115446051,1408658279.90756,2020-11-02,2019-11-02,366,0.071264,9.18,0.08783
15,TRON,TRX,Coin,Yes,0.008112639405,25317669335202,1268874990.65169,2020-11-02,2019-11-02,366,0.019958,40.65,0.34109
16,Monero,XMR,Coin,Yes,61.159146853,1423524940,1252473134.90704,2020-11-02,2019-11-02,366,62.31,98.15,0.68387
17,UNUS SED LEO,LEO,Token,No,0.2370567571824,3910651922,1077166534.47527,2020-11-02,2019-11-02,366,1.01,23.47,0.21084
18,USD Coin,USDC,Token,No,-8.81389003600011e-04,174241460776,1001179606.59341,2020-11-02,2019-11-02,366,1,-0.09,-0.00088
19,Huobi Token,HT,Token,No,-0.158888034999999,16175644365,886176913.077135,2020-11-02,2019-11-02,366,3.95,-4.02,-0.04106
20,NEO,NEO,Coin,No,4.930689102,16267790839,843776264.368715,2020-11-02,2019-11-02,366,11.02,44.74,0.36979
21,Cosmos,ATOM,Coin,No,2.319836926,18835562205,758514291.688202,2020-11-02,2019-11-02,366,3.43,67.63,0.51661
22,Ethereum Classic,ETC,Coin,Yes,0.431024503999999,65648494805,724340466.901961,2020-11-02,2019-11-02,366,4.94,8.73,0.08365
23,Dash,DASH,Coin,Yes,-0.195699014999988,2970076427,718367459.429775,2020-11-02,2019-11-02,366,72.45,-0.27,-0.00270
24,IOTA,MIOTA,Coin,No,-0.0427604964081,22157068331,660310401.728291,2020-11-02,2019-11-02,366,0.273877,-15.61,-0.16976
25,NEM,XEM,Coin,No,0.054809422662,257579438955,513081274.120448,2020-11-02,2019-11-02,366,0.042525,128.89,0.82806
26,VeChain,VET,Coin,No,8.47932378509999e-03,7572629143902,494071663.509804,2020-11-02,2019-11-02,366,0.004225,200.69,1.10092
27,Maker,MKR,Token,No,-159.769962049,10547732,492157892.528926,2020-11-02,2019-11-02,366,524.52,-30.46,-0.36327
28,HedgeTrade,HEDG,Token,No,-0.0739269346809,169405949,490538040.146006,2020-11-02,2019-11-02,366,0.780205,-9.48,-0.09955
29,Zcash,ZEC,Coin,Yes,11.304728969,3070914217,477290228.893258,2020-11-02,2019-11-02,366,37.85,29.87,0.26134
30,Ontology,ONT,Coin,No,-0.4739931902908,72108997085,420726525.498592,2020-11-02,2019-11-02,366,0.927644,-51.10,-0.71532
31,INO COIN,INO,Token,No,0.9133065659477,52736607,350231821.884298,2020-11-02,2019-11-02,366,1.98,46.13,0.37930
32,MINDOL,MIN,Token,No,0.892033205844496,326838630,345712319.368421,2020-11-02,2019-11-02,366,0.282525,315.74,1.42488
33,Basic Attention Token,BAT,Token,No,-0.0445758689,184316392844,322502992.978022,2020-11-02,2019-11-02,366,0.234685,-18.99,-0.21065
