trade_date,Binance_Coin,Bitcoin,Bitcoin_Cash,Bitcoin_SV,Cardano,Chainlink,Crypto_com_Coin,EOS,Ethereum,Huobi_Token,Litecoin,Monero,NEO,Stellar,Tether,Tezos,TRON,UNUS_SED_LEO,USD_Coin,XRP
2019-11-02,0.01241,0.00685,0.04065,0.01741,0.00598,-0.00368,-0.01577,-0.00599,-0.00022,-0.00253,0.00034,0.02338,0.03415,0.02894,0,-0.01424,0.01423,0.01641,0,0.0123
2019-11-03,-0.00296,-0.00963,0.00682,-0.01911,-0.01583,-0.01487,0.01374,-0.01513,-0.00819,-0.01018,0.00051,0.01845,0.00453,-0.03097,0,0.00386,-0.01301,-0.00995,0,-0.01703
2019-11-04,0.02589,0.01901,-0.00294,0.02138,0.03067,0.00746,-0.01577,0.05053,0.02131,0.00255,0.04893,-0.00537,0.03462,0.10043,0,0.02604,0.00663,0.00995,0,0.02935
2019-11-05,-0.00096,-0.00747,0.00635,0.04281,0.02494,-0.00372,-0.01199,0.0481,0.01565,-0.00255,0.02771,-0.00238,-0.02474,0.07287,0,0.03886,0.00106,-0.01512,0,0.00438
2019-11-06,0.00481,0.00196,0.04174,0.00965,0.01407,0.02214,-0.01748,0,0.01202,0.02276,0.01521,0.01934,-0.00718,-0.04645,0,0.09546,0.01678,-0.00875,0,0.02889
2019-11-07,-0.0082,-0.01002,-0.04246,-0.04172,-0.02978,-0.01842,0.05237,-0.03371,-0.01902,-0.00501,-0.03854,-0.01096,0.00897,-0.0446,0.00995,0.17905,-0.02839,0.00604,0.00995,-0.05862
2019-11-08,-0.0476,-0.05121,-0.05433,-0.07027,-0.03119,0.01109,-0.02181,-0.02312,-0.02026,-0.02803,-0.02141,-0.04213,-0.04848,-0.04257,-0.00995,-0.04185,-0.04316,0.00103,-0.00995,-0.05438
2019-11-09,0.00254,0.00099,0.01698,0.04138,0.00349,0.02899,-0.06437,0.02026,0.00444,-0.00778,0.02319,0.02096,0.00187,0.01277,0,0.05811,0.009,-0.01895,-0.00009,0.01164
2019-11-10,0.0368,0.02708,0.03728,0.03589,0.03503,-0.00717,0.02012,0.02546,0.02377,0.0155,0.03005,0.02729,0.03312,0.07175,0,-0.0081,0.02283,0.01769,0.00009,0.00003
2019-11-11,-0.01724,-0.03343,-0.02177,-0.02206,-0.01753,-0.01085,-0.02197,-0.03699,-0.02128,-0.01811,-0.03086,-0.03131,0.0108,0.02001,0,-0.0415,-0.0159,-0.01756,0,-0.01843
2019-11-12,0.03562,0.00659,0.00722,0.00076,0.01318,0.02514,0.00325,0.00866,0.00725,-0.00261,-0.00909,0.00531,0.0841,-0.0349,0,-0.00851,0.02676,0.00089,0,-0.00975
2019-11-13,0.01852,-0.00084,-0.00955,-0.0179,-0.0063,0.06852,-0.00596,0,0.00757,0.01042,-0.00376,0.04813,0.08289,-0.00646,0,-0.03479,0.02512,-0.01594,0,0.00227
2019-11-14,0.00047,-0.01144,-0.02449,-0.02177,-0.00861,0.01316,0.06152,-0.01739,-0.01208,-0.01567,-0.02788,0.00321,-0.03704,-0.02427,0.00995,0.07663,-0.03049,-0.00027,0.00995,-0.00973
2019-11-15,-0.04522,-0.02513,-0.05458,-0.02354,0.01963,-0.00656,-0.03865,-0.02367,-0.02991,-0.04027,-0.02764,-0.05617,-0.05411,-0.03271,-0.00995,-0.04185,-0.0468,0.00233,-0.00995,-0.03285
2019-11-16,-0.00197,0.0069,0.01123,0.00491,0.00449,-0.00992,-0.01022,0.02074,0.01556,0.00274,0.01306,0.00081,0.03426,-0.00595,0.00995,-0.00858,0.00946,0.0119,0.00995,0.00849
2019-11-17,-0.00099,0.00318,0.00388,-0.0008,0.02788,-0.02694,0.02212,0.00293,0.00961,-0.00548,0.01693,0.00209,-0.02435,0.00321,0,0,0.00525,0.00198,0,0.00517
2019-11-18,-0.04751,-0.03182,-0.07156,-0.05335,-0.0363,-0.03473,-0.00994,-0.05716,-0.02494,-0.03352,-0.04762,-0.04543,-0.05837,-0.0546,0,0.05859,-0.08249,-0.0042,0,-0.03686
2019-11-19,-0.03262,-0.01249,-0.02333,-0.06483,-0.02919,-0.02505,-0.05849,-0.02508,-0.01732,-0.0259,-0.02099,-0.0071,0.02665,-0.03809,0,-0.00816,-0.01909,-0.01131,0,0.00331
2019-11-20,-0.02875,-0.02204,-0.0007,-0.03622,-0.03259,-0.01828,-0.00264,-0.016,-0.00997,-0.02062,-0.00595,-0.01212,-0.02057,-0.00379,0,-0.00823,-0.02516,-0.00454,0,-0.02023
2019-11-21,-0.07601,-0.04909,-0.07496,-0.06085,-0.06969,-0.06086,-0.0477,-0.09113,-0.08452,-0.08054,-0.08312,-0.07317,-0.04335,-0.06007,-0.00995,0,-0.07625,-0.01866,-0.00995,-0.03069
2019-11-22,-0.07777,-0.04635,-0.08119,-0.03357,-0.0333,-0.08168,-0.06618,-0.07329,-0.07182,-0.09467,-0.06622,-0.05447,-0.13121,-0.036,0,0.00823,-0.06289,-0.00971,0,-0.0512
2019-11-23,0.05251,0.01378,0.03946,0.11935,0.03166,0.04167,0.02474,0.03365,0.02075,-0.00355,0.02263,0.01625,0.04436,0.01438,0.00995,0.13045,0.04707,0.0231,0.00995,0.01962
2019-11-24,-0.07196,-0.04845,-0.05772,-0.08429,-0.07456,-0.08072,-0.01981,-0.10454,-0.07152,-0.14942,-0.08524,-0.07758,-0.10273,-0.05943,0.00985,-0.03663,-0.08593,-0.01579,0,-0.05663
